Country/Region,Lat,Long,Province/State,confirmed,date,deaths,recovered
Afghanistan,33.0,65.0,,0,2020-01-22,0,0
Afghanistan,33.0,65.0,,0,2020-01-23,0,0
Afghanistan,33.0,65.0,,0,2020-01-24,0,0
Afghanistan,33.0,65.0,,0,2020-01-25,0,0
Afghanistan,33.0,65.0,,0,2020-01-26,0,0
Afghanistan,33.0,65.0,,0,2020-01-27,0,0
Afghanistan,33.0,65.0,,0,2020-01-28,0,0
Afghanistan,33.0,65.0,,0,2020-01-29,0,0
Afghanistan,33.0,65.0,,0,2020-01-30,0,0
Afghanistan,33.0,65.0,,0,2020-01-31,0,0
Afghanistan,33.0,65.0,,0,2020-02-01,0,0
Afghanistan,33.0,65.0,,0,2020-02-02,0,0
Afghanistan,33.0,65.0,,0,2020-02-03,0,0
Afghanistan,33.0,65.0,,0,2020-02-04,0,0
Afghanistan,33.0,65.0,,0,2020-02-05,0,0
Afghanistan,33.0,65.0,,0,2020-02-06,0,0
Afghanistan,33.0,65.0,,0,2020-02-07,0,0
Afghanistan,33.0,65.0,,0,2020-02-08,0,0
Afghanistan,33.0,65.0,,0,2020-02-09,0,0
Afghanistan,33.0,65.0,,0,2020-02-10,0,0
Afghanistan,33.0,65.0,,0,2020-02-11,0,0
Afghanistan,33.0,65.0,,0,2020-02-12,0,0
Afghanistan,33.0,65.0,,0,2020-02-13,0,0
Afghanistan,33.0,65.0,,0,2020-02-14,0,0
Afghanistan,33.0,65.0,,0,2020-02-15,0,0
Afghanistan,33.0,65.0,,0,2020-02-16,0,0
Afghanistan,33.0,65.0,,0,2020-02-17,0,0
Afghanistan,33.0,65.0,,0,2020-02-18,0,0
Afghanistan,33.0,65.0,,0,2020-02-19,0,0
Afghanistan,33.0,65.0,,0,2020-02-20,0,0
Afghanistan,33.0,65.0,,0,2020-02-21,0,0
Afghanistan,33.0,65.0,,0,2020-02-22,0,0
Afghanistan,33.0,65.0,,0,2020-02-23,0,0
Afghanistan,33.0,65.0,,1,2020-02-24,0,0
Afghanistan,33.0,65.0,,1,2020-02-25,0,0
Afghanistan,33.0,65.0,,1,2020-02-26,0,0
Afghanistan,33.0,65.0,,1,2020-02-27,0,0
Afghanistan,33.0,65.0,,1,2020-02-28,0,0
Afghanistan,33.0,65.0,,1,2020-02-29,0,0
Afghanistan,33.0,65.0,,1,2020-03-01,0,0
Afghanistan,33.0,65.0,,1,2020-03-02,0,0
Afghanistan,33.0,65.0,,1,2020-03-03,0,0
Afghanistan,33.0,65.0,,1,2020-03-04,0,0
Afghanistan,33.0,65.0,,1,2020-03-05,0,0
Afghanistan,33.0,65.0,,1,2020-03-06,0,0
Afghanistan,33.0,65.0,,1,2020-03-07,0,0
Afghanistan,33.0,65.0,,4,2020-03-08,0,0
Afghanistan,33.0,65.0,,4,2020-03-09,0,0
Afghanistan,33.0,65.0,,5,2020-03-10,0,0
Afghanistan,33.0,65.0,,7,2020-03-11,0,0
Afghanistan,33.0,65.0,,7,2020-03-12,0,0
Afghanistan,33.0,65.0,,7,2020-03-13,0,0
Afghanistan,33.0,65.0,,11,2020-03-14,0,0
Afghanistan,33.0,65.0,,16,2020-03-15,0,0
Afghanistan,33.0,65.0,,21,2020-03-16,0,1
Afghanistan,33.0,65.0,,22,2020-03-17,0,1
Afghanistan,33.0,65.0,,22,2020-03-18,0,1
Afghanistan,33.0,65.0,,22,2020-03-19,0,1
Afghanistan,33.0,65.0,,24,2020-03-20,0,1
Afghanistan,33.0,65.0,,24,2020-03-21,0,1
Afghanistan,33.0,65.0,,40,2020-03-22,1,1
Afghanistan,33.0,65.0,,40,2020-03-23,1,1
Afghanistan,33.0,65.0,,74,2020-03-24,1,1
Afghanistan,33.0,65.0,,84,2020-03-25,2,2
Afghanistan,33.0,65.0,,94,2020-03-26,4,2
Afghanistan,33.0,65.0,,110,2020-03-27,4,2
Afghanistan,33.0,65.0,,110,2020-03-28,4,2
Afghanistan,33.0,65.0,,120,2020-03-29,4,2
Afghanistan,33.0,65.0,,170,2020-03-30,4,2
Afghanistan,33.0,65.0,,174,2020-03-31,4,5
Afghanistan,33.0,65.0,,237,2020-04-01,4,5
Afghanistan,33.0,65.0,,273,2020-04-02,6,10
Afghanistan,33.0,65.0,,281,2020-04-03,6,10
Afghanistan,33.0,65.0,,299,2020-04-04,7,10
Afghanistan,33.0,65.0,,349,2020-04-05,7,15
Afghanistan,33.0,65.0,,367,2020-04-06,11,18
Afghanistan,33.0,65.0,,423,2020-04-07,14,18
Afghanistan,33.0,65.0,,444,2020-04-08,14,29
Afghanistan,33.0,65.0,,484,2020-04-09,15,32
Afghanistan,33.0,65.0,,521,2020-04-10,15,32
Afghanistan,33.0,65.0,,555,2020-04-11,18,32
Afghanistan,33.0,65.0,,607,2020-04-12,18,32
Afghanistan,33.0,65.0,,665,2020-04-13,21,32
Afghanistan,33.0,65.0,,714,2020-04-14,23,40
